%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

                      LAMM-2013  

                       Jan 2013

                   Thanh Lam Nguyen
                   nguyenlt@umich.edu

                   University of Michigan
               Ann Arbor, Michigan 48109-2143

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

   MultiWell Citation:

   MultiWell-2013   Software, Jan 2013, designed and maintained by
      J.R. Barker with contributors N.F. Ortiz, J.M. Preses, 
      L.L. Lohr, A. Maranzana, P.J. Stimac, T.L. Nguyen, 
      and T.J. Dhilip Kumar
      University of Michigan, Ann Arbor, MI; 
      http://aoss.engin.umich.edu/multiwell/.

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%


TS_3e_35_7_14_26_1_scan_b3631gd                                                                     
Calculated at [      ] level of theory                                                              

WARNING: The zero of the relative energy is arbitrary minimum                                       

   INDEX    ANG(DEG)    ANG(RAD)      E(cm-1)       I(amu.A**2)   B(cm-1)
     1         0.0       0.000000         0.0      2.4837        6.7873
     2        10.0       0.174533        73.9      2.6423        6.3799
     3        20.0       0.349066       281.2      2.8225        5.9726
     4        30.0       0.523599       572.7      3.0792        5.4746
     5        40.0       0.698132       877.7      3.5510        4.7473
     6        50.0       0.872665      1115.5      4.6267        3.6436
     7        60.0       1.047198      1208.9      4.6496        3.6256
     8        70.0       1.221730      1126.1      3.8889        4.3348
     9        80.0       1.396263       898.7      3.4285        4.9169
    10        90.0       1.570796       594.6      3.0469        5.5326
    11       100.0       1.745329       300.4      2.8284        5.9601
    12       110.0       1.919862        88.4      2.5833        6.5256
    13       120.0       2.094395         7.1      2.5142        6.7051
    14       130.0       2.268928        74.7      2.6669        6.3210
    15       140.0       2.443461       278.7      2.8083        6.0028
    16       150.0       2.617994       569.5      3.0429        5.5399
    17       160.0       2.792527       875.0      3.4795        4.8448
    18       170.0       2.967060      1117.1      4.2237        3.9912
    19       180.0       3.141593      1216.1      4.5066        3.7407
    20       190.0       3.316126      1135.5      4.0285        4.1846
    21       200.0       3.490659       909.9      3.4592        4.8733
    22       210.0       3.665191       604.1      3.0533        5.5212
    23       220.0       3.839724       307.3      2.8390        5.9378
    24       230.0       4.014257        93.6      2.6307        6.4079
    25       240.0       4.188790        10.4      2.6007        6.4820
    26       250.0       4.363323        77.3      2.7225        6.1919
    27       260.0       4.537856       280.8      2.8036        6.0130
    28       270.0       4.712389       570.7      3.0929        5.4504
    29       280.0       4.886922       876.7      3.5329        4.7716
    30       290.0       5.061455      1118.2      3.9806        4.2349
    31       300.0       5.235988      1217.9      4.5946        3.6690
    32       310.0       5.410521      1135.1      4.1776        4.0352
    33       320.0       5.585054       903.1      3.5510        4.7472
    34       330.0       5.759587       592.7      3.1111        5.4185
    35       340.0       5.934119       295.4      2.8647        5.8846
    36       350.0       6.108652        85.3      2.6658        6.3237
    37       360.0       6.283185         8.7      2.6350        6.3977
    38       370.0       6.457718        82.7      2.6805        6.2890
    39       380.0       6.632251       290.0      2.7893        6.0437
    40       390.0       6.806784       581.9      3.1517        5.3488
    41       400.0       6.981317       886.4      3.6223        4.6539
