%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

                      LAMM-2013  

                       Jan 2013

                   Thanh Lam Nguyen
                   nguyenlt@umich.edu

                   University of Michigan
               Ann Arbor, Michigan 48109-2143

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

   MultiWell Citation:

   MultiWell-2013   Software, Jan 2013, designed and maintained by
      J.R. Barker with contributors N.F. Ortiz, J.M. Preses, 
      L.L. Lohr, A. Maranzana, P.J. Stimac, T.L. Nguyen, 
      and T.J. Dhilip Kumar
      University of Michigan, Ann Arbor, MI; 
      http://aoss.engin.umich.edu/multiwell/.

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%


TS_2d_1_11_28_29_4_scan_b3631gd                                                                     
Calculated at [      ] level of theory                                                              

WARNING: The zero of the relative energy is arbitrary minimum                                       

   INDEX    ANG(DEG)    ANG(RAD)      E(cm-1)       I(amu.A**2)   B(cm-1)
     1         0.0       0.000000         0.0      0.8965       18.8031
     2        10.0       0.174533         6.8      0.8988       18.7555
     3        20.0       0.349066        24.1      0.9011       18.7080
     4        30.0       0.523599        54.5      0.9043       18.6413
     5        40.0       0.698132       100.2      0.9081       18.5628
     6        50.0       0.872665       167.7      0.9122       18.4803
     7        60.0       1.047198       267.1      0.9161       18.4023
     8        70.0       1.221730       408.5      0.9194       18.3355
     9        80.0       1.396263       607.3      0.9219       18.2855
    10        90.0       1.570796       885.0      0.9234       18.2560
    11       100.0       1.745329      1271.3      0.9238       18.2477
    12       110.0       1.919862      1796.5      0.9232       18.2595
    13       120.0       2.094395      2478.5      0.9218       18.2876
    14       130.0       2.268928      3305.1      0.9198       18.3270
    15       140.0       2.443461      4225.5      0.9176       18.3709
    16       150.0       2.617994      5102.6      0.9156       18.4123
    17       160.0       2.792527      5689.4      0.9139       18.4448
    18       170.0       2.967060      5769.9      0.9130       18.4637
    19       180.0       3.141593      5413.5      0.9129       18.4656
    20       190.0       3.316126      4864.2      0.9137       18.4505
    21       200.0       3.490659      4285.5      0.9152       18.4206
    22       210.0       3.665191      3748.8      0.9171       18.3805
    23       220.0       3.839724      3257.2      0.9194       18.3363
    24       230.0       4.014257      2796.9      0.9214       18.2949
    25       240.0       4.188790      2337.0      0.9230       18.2630
    26       250.0       4.363323      1875.6      0.9239       18.2465
    27       260.0       4.537856      1434.9      0.9237       18.2492
    28       270.0       4.712389      1047.0      0.9225       18.2734
    29       280.0       4.886922       729.1      0.9202       18.3186
    30       290.0       5.061455       484.3      0.9171       18.3818
    31       300.0       5.235988       304.6      0.9133       18.4580
    32       310.0       5.410521       178.8      0.9092       18.5404
    33       320.0       5.585054        95.3      0.9053       18.6210
    34       330.0       5.759587        43.4      0.9019       18.6917
    35       340.0       5.934119        15.2      0.8993       18.7450
    36       350.0       6.108652         2.7      0.8979       18.7752
    37       360.0       6.283185         0.0      0.8977       18.7788
    38       370.0       6.457718         6.8      0.8988       18.7555
    39       380.0       6.632251        24.1      0.9011       18.7080
    40       390.0       6.806784        54.5      0.9043       18.6413
    41       400.0       6.981317       100.2      0.9076       18.5747
