%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

                      LAMM-2013  

                       Jan 2013

                   Thanh Lam Nguyen
                   nguyenlt@umich.edu

                   University of Michigan
               Ann Arbor, Michigan 48109-2143

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

   MultiWell Citation:

   MultiWell-2013   Software, Jan 2013, designed and maintained by
      J.R. Barker with contributors N.F. Ortiz, J.M. Preses, 
      L.L. Lohr, A. Maranzana, P.J. Stimac, T.L. Nguyen, 
      and T.J. Dhilip Kumar
      University of Michigan, Ann Arbor, MI; 
      http://aoss.engin.umich.edu/multiwell/.

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%


TS_2d_1_11_5_27_3_scan_b3631gd                                                                      
Calculated at [      ] level of theory                                                              

WARNING: The zero of the relative energy is arbitrary minimum                                       

   INDEX    ANG(DEG)    ANG(RAD)      E(cm-1)       I(amu.A**2)   B(cm-1)
     1         0.0       0.000000         0.0     87.2381        0.1932
     2        10.0       0.174533        92.4     88.9792        0.1895
     3        20.0       0.349066       257.4     90.7912        0.1857
     4        30.0       0.523599       443.5     92.2738        0.1827
     5        40.0       0.698132       600.3     93.3641        0.1806
     6        50.0       0.872665       708.3     94.0394        0.1793
     7        60.0       1.047198       732.9     94.3245        0.1787
     8        70.0       1.221730       762.2     94.2962        0.1788
     9        80.0       1.396263       972.8     94.0789        0.1792
    10        90.0       1.570796      1549.4     93.8296        0.1797
    11       100.0       1.745329      2467.1     93.7080        0.1799
    12       110.0       1.919862      3458.4     93.8376        0.1796
    13       120.0       2.094395      4205.7     94.2697        0.1788
    14       130.0       2.268928      4085.4     94.9644        0.1775
    15       140.0       2.443461      2782.3     95.8002        0.1760
    16       150.0       2.617994      1321.5     96.6043        0.1745
    17       160.0       2.792527       788.0     97.1940        0.1734
    18       170.0       2.967060      1153.0     97.4117        0.1731
    19       180.0       3.141593      1652.0     97.1478        0.1735
    20       190.0       3.316126      1765.3     96.3496        0.1750
    21       200.0       3.490659      1508.0     95.0199        0.1774
    22       210.0       3.665191      1146.7     93.2104        0.1809
    23       220.0       3.839724       877.3     91.0143        0.1852
    24       230.0       4.014257       763.2     88.5582        0.1904
    25       240.0       4.188790       833.0     85.9946        0.1960
    26       250.0       4.363323      1038.4     83.4919        0.2019
    27       260.0       4.537856      1284.5     81.2232        0.2075
    28       270.0       4.712389      1529.5     79.3516        0.2124
    29       280.0       4.886922      1723.6     78.0135        0.2161
    30       290.0       5.061455      1823.8     77.3022        0.2181
    31       300.0       5.235988      1731.2     77.2569        0.2182
    32       310.0       5.410521      1436.8     77.8587        0.2165
    33       320.0       5.585054      1028.4     79.0356        0.2133
    34       330.0       5.759587       600.4     80.6746        0.2090
    35       340.0       5.934119       250.0     82.6371        0.2040
    36       350.0       6.108652        46.8     84.7728        0.1989
    37       360.0       6.283185         0.0     86.9329        0.1939
    38       370.0       6.457718        92.4     88.9792        0.1895
    39       380.0       6.632251       257.4     90.7912        0.1857
    40       390.0       6.806784       443.5     92.2738        0.1827
    41       400.0       6.981317       600.3     93.8057        0.1797
